title,total_streams_mio,days_in_charts,days_in_top10,url,track_id,Unnamed: 0,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",246.41,6219,380,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b,4QtiVmuA88tPQiCOHZuQ5b,20128,Sofía Reyes;Jason Derulo;De La Ghetto,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",79,201526,False,0.792,0.895,1,-3.112,0,0.0589,0.165,0.0,0.0501,0.794,94.968,4,dance
Rewrite The Stars,243.66,7456,456,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN,630sXRhIcfwr2e4RdNtjKN,98003,Zac Efron;Zendaya,Rewrite The Stars,Rewrite The Stars,74,217440,False,0.684,0.619,10,-7.005,1,0.0386,0.0716,0.0,0.122,0.284,125.046,4,show-tunes
AM Remix,239.99,1814,789,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho,05bfbizlM5AX6Mf1RRyMho,68906,Nio Garcia;J Balvin;Bad Bunny,AM Remix,AM Remix,79,261334,True,0.743,0.655,6,-5.015,0,0.159,0.114,0.0,0.0764,0.785,172.031,4,latino
El Amante,239.56,6195,1455,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,3umS4y3uQDkqekNjVpiRUs,68858,Nicky Jam,Fénix,El Amante,69,219506,False,0.683,0.691,8,-5.535,1,0.0432,0.243,0.0,0.14,0.732,179.91,4,latino
Put Your Records On,239.43,4015,94,https://open.spotify.com/track/2nGFzvICaeEWjIrBrL2RAx,2nGFzvICaeEWjIrBrL2RAx,11103,Corinne Bailey Rae,Corinne Bailey Rae,Put Your Records On,77,215360,False,0.739,0.511,9,-7.844,1,0.0362,0.167,1.34e-06,0.133,0.542,96.038,4,british
Giant (with Rag'n'Bone Man),239.02,5290,303,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,5itOtNx0WxtJmi1TQ3RuRd,83161,Calvin Harris;Rag'n'Bone Man,Giant (with Rag'n'Bone Man),Giant (with Rag'n'Bone Man),73,229184,False,0.807,0.887,1,-4.311,0,0.0361,0.016,0.000503,0.0811,0.606,122.015,4,progressive-house
Mad Love,237.77,6571,32,https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf,3soOPBuMK8YMdWnV7xpEyf,21224,Sean Paul;David Guetta;Becky G,Mad Love,Mad Love,56,199944,False,0.793,0.824,2,-3.476,1,0.177,0.006,3.29e-06,0.169,0.611,98.019,4,dancehall
Him & I (with Halsey),236.46,4520,561,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4,5k38wzpLb15YgncyWdTZE4,51502,G-Eazy;Halsey,The Beautiful & Damned,Him & I (with Halsey),79,268866,True,0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.908,4,hip-hop
Don't Stop Me Now - Remastered 2011,236.23,8882,0,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,5T8EDUDqKcs6OSOwEsfqG7,91615,Queen,Jazz (2011 Remaster),Don't Stop Me Now - Remastered 2011,82,209413,False,0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,4,rock
TE MUDASTE,235.27,3381,382,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY,5RubKOuDoPn5Kj5TLVxSxY,68952,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,TE MUDASTE,81,130013,True,0.811,0.637,10,-4.835,0,0.0591,0.234,0.000572,0.118,0.471,92.025,4,latino
Wonderwall - Remastered,234.91,12445,0,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa,5qqabIl2vWzo9ApSC317sa,91914,Oasis,(What's The Story) Morning Glory? [Remastered],Wonderwall - Remastered,78,258773,False,0.378,0.896,2,-4.066,1,0.0407,0.000452,0.0,0.194,0.469,174.302,4,rock
Stargazing,233.29,7639,332,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP,0Zbbxnx4SGGHoIow4PpISP,30809,Kygo;Justin Jesso,Stargazing - EP,Stargazing,68,236853,False,0.677,0.497,5,-5.763,1,0.0809,0.152,0.0,0.0911,0.419,99.137,4,edm
Take You Dancing,233.28,6131,27,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3,59qrUpoplZxbIZxk6X0Bm3,20311,Jason Derulo,Take You Dancing,Take You Dancing,78,190306,False,0.789,0.711,2,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985,4,dance
Goosebumps - Remix,231.92,4957,34,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9,5uEYRdEIh9Bo4fpjDd4Na9,51303,Travis Scott;HVME,Goosebumps (Remix),Goosebumps - Remix,81,162802,True,0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917,4,hip-hop
My Oh My (feat. DaBaby),231.07,4331,40,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,3yOlyBJuViE2YSGn3nVE1K,20507,Camila Cabello;DaBaby,Romance,My Oh My (feat. DaBaby),76,170746,False,0.724,0.491,8,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,4,dance
Riptide,228.07,10307,0,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm,7yq4Qj7cqayVTp3FF9CWbm,34027,Vance Joy,Dream Your Life Away,Riptide,82,204280,False,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,4,folk
Volví,227.8,1510,817,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi,2vmfvSoZBFAt9hhRoEByLi,68800,Aventura;Bad Bunny,Volví,Volví,83,230125,True,0.725,0.86,1,-3.726,1,0.182,0.422,0.000284,0.0674,0.791,175.896,4,latino
Here With Me,227.28,5101,98,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac,5icOoE6VgqFKohjWWNp0Ac,20816,Marshmello;CHVRCHES,Here With Me,Here With Me,75,156346,False,0.791,0.565,5,-3.933,0,0.0439,0.0623,0.0,0.156,0.181,99.961,4,dance
CÓMO SE SIENTE - Remix,223.16,5092,135,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC,2tFwfmceQa1Y6nRPhYbEtC,68901,Jhayco;Bad Bunny,CÓMO SE SIENTE (Remix),CÓMO SE SIENTE - Remix,82,227520,True,0.807,0.606,3,-8.871,0,0.088,0.0946,0.0,0.119,0.304,92.988,4,latino
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",218.99,7443,556,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65,5q2JbCNi4FcnglgPfxcV65,68859,Anuel AA;Daddy Yankee;Zion & Lennox;Farruko;Wisin,Sola (Remix),Sola (Remix),78,307910,False,0.639,0.869,11,-4.024,1,0.147,0.27,0.0,0.0802,0.767,169.801,4,latino
Reggaetón Lento (Bailemos),216.24,6764,1059,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,3AEZUABDXNtecAOSC1qTfo,88807,CNCO,Primera Cita,Reggaetón Lento (Bailemos),73,222560,False,0.761,0.838,4,-3.073,0,0.0502,0.4,0.0,0.176,0.71,93.974,4,reggae
Despeinada,212.08,3757,344,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC,0JAZWvvqttGFm4UMDsPQXC,68970,Ozuna;Camilo,Enoc,Despeinada,70,224186,False,0.734,0.775,8,-3.855,1,0.0614,0.186,0.000542,0.123,0.72,166.039,4,latino
